source_id,article_url,claim_scope,required_source_authority,jurisdiction,source_url,source_title,effective_date,reviewer,verification_status,next_review,notes
SEP-USED-03,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,#walkaround: VIN recall lookup and omissions for repaired and newly announced recalls,NHTSA,United States,https://www.nhtsa.gov/recalls,Check for Recalls,Not stated; current lookup documentation,qualified_safety_reviewer,primary_source_checked_pending_qualified_review,,What will / will not the license plate and VIN search show; recheck exact VIN at purchase; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-ADD-01,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#itemize: extended warranty GAP credit insurance generally optional; request written requirement,CFPB,United States,https://www.consumerfinance.gov/ask-cfpb/am-i-required-to-purchase-an-extended-warranty-or-guaranteed-asset-protection-gap-insurance-from-a-lender-or-dealer-to-get-an-auto-loan-en-807/,Am I required to purchase an extended warranty GAP or credit insurance?,Reviewed 2024-03-05; no statutory effective date asserted,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Opening answer and What if a dealer or lender makes it hard to turn down optional products; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-ADD-02,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#products: GAP may cover some or all loan/value gap after covered loss,CFPB,United States,https://www.consumerfinance.gov/ask-cfpb/what-kind-of-auto-insurance-options-are-available-when-financing-a-car-en-731/,What kind of auto insurance options are available when financing a car?,Page modified 2024-10-07; contract-specific coverage,qualified_insurance_reviewer,primary_source_checked_pending_qualified_review,,GAP insurance section; no identical-coverage or guaranteed-full-payment claim; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-ADD-03,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#products: optional separately sold service contract; warranty overlap; exclusions deductible administrator and authorization questions,FTC,United States,https://consumer.ftc.gov/articles/auto-warranties-and-auto-service-contracts,Auto Warranties and Auto Service Contracts,April 2024 publication; no statutory effective date asserted,qualified_warranty_reviewer,primary_source_checked_pending_qualified_review,,Differences; Facts About Auto Service Contracts. No universal value or markup assertions; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-ADD-04,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#cost: add-on cost financed over loan term and benefits may expire earlier,CFPB,United States,https://www.consumerfinance.gov/archive/blog/overcharging-for-add-on-products-on-auto-loans/,Overcharging for add-on products on auto loans,Published 2022-05-02; archived explanatory guidance,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Opening financing discussion; used for mechanism only not current enforcement policy. Hypothetical arithmetic independently checked; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-NEW-01,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,#msrp: manufacturer suggested price differs from total cost,CFPB,United States,https://www.consumerfinance.gov/ask-cfpb/what-factors-into-the-price-of-a-car-or-vehicle-en-723/,What factors into the price of a car or vehicle?,Reviewed 2023-09-12; no statutory effective date asserted,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Opening definition and other costs; no invoice-cost assertion; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-NEW-02,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,#request and final documents: written out-the-door total availability promotion restrictions and matching contract,FTC,United States,https://consumer.ftc.gov/articles/car-dealer-ads-and-promotions-know-you-go,Car Dealer Ads and Promotions: Know Before You Go,Not stated; current consumer guidance,qualified_consumer_law_reviewer,primary_source_checked_pending_qualified_review,,Know Before You Go; Low prices or special discounts; Before You Sign a Contract. No current incentive claimed; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-NEW-03,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,#compare: APR term amount financed total payments and separate trade-in/payoff comparison,FTC,United States,https://consumer.ftc.gov/articles/financing-or-leasing-car,Financing or Leasing a Car,Not stated; current consumer guidance,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Before You Buy; Factoring in a Trade-in; Financing a Car. Original examples use invented amounts not rates or tax estimates; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-AUS-01,https://www.driverightcarbuying.com/austin.html,Austin-specific planning: Travis County individual-sale title check with seller,Travis County Tax Office,Travis County Texas,https://tax-office.traviscountytx.gov/vehicles/titles/titles-options/transfers/buying,Vehicle title transfer buying a vehicle,Not stated; current county guidance,qualified_texas_title_reviewer,primary_source_checked_pending_qualified_review,,Opening paragraph; no title timeline fee or universal document list asserted; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-AUS-02,https://www.driverightcarbuying.com/austin.html,Austin-specific planning: title-transfer walk-ins at selected locations,Travis County Tax Office,Travis County Texas,https://tax-office.traviscountytx.gov/vehicles/titles,Vehicle titles,Not stated; confirm before travel,local_content_reviewer,primary_source_checked_pending_qualified_review,,Opening walk-in notice; no fixed hours or guaranteed appointment; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-AUS-03,https://www.driverightcarbuying.com/austin.html,Austin-specific planning: Travis Williamson emissions program; gasoline age range and excluded vehicle types,TCEQ,Travis and Williamson counties Texas,https://www.tceq.texas.gov/airquality/mobilesource/vim/overview.html,Vehicle Emissions Inspections in Texas,Austin program implemented 2005-09-01; applicability rechecked 2026-09-05,qualified_texas_vehicle_regulation_reviewer,primary_source_checked_pending_qualified_review,,Quick Facts and Austin program overview; no conclusion for individual vehicle; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-AUS-04,https://www.driverightcarbuying.com/austin.html,Austin-specific planning: I-35 Central construction segments and closure map,TxDOT,Austin Texas,https://www.txdot.gov/mymobility35/projects/capex-central.html,I-35 Capital Express Central Project,Phasing graphic tentative as of 2026-06-11; closures dynamic,local_content_reviewer,primary_source_checked_pending_qualified_review,,Project segments and Click map for closures; scheduling suggestions are editorial inference; no travel-time promise; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
